MTU (UTC),DateTime,Generation - Solar [MW] Day Ahead/ BZN|EE,Generation - Solar [MW] Intraday / BZN|EE,Generation - Solar [MW] Current / BZN|EE,Generation - Wind Offshore [MW] Day Ahead/ BZN|EE,Generation - Wind Offshore [MW] Intraday / BZN|EE,Generation - Wind Offshore [MW] Current / BZN|EE,Generation - Wind Onshore [MW] Day Ahead/ BZN|EE,Generation - Wind Onshore [MW] Intraday / BZN|EE,Generation - Wind Onshore [MW] Current / BZN|EE
07.03.2023 00:00 - 07.03.2023 01:00,07.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,3,n/e,n/e
07.03.2023 01:00 - 07.03.2023 02:00,07.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,3,n/e,n/e
07.03.2023 02:00 - 07.03.2023 03:00,07.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,2,n/e,n/e
07.03.2023 03:00 - 07.03.2023 04:00,07.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,2,n/e,n/e
07.03.2023 04:00 - 07.03.2023 05:00,07.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,0,n/e,n/e
07.03.2023 05:00 - 07.03.2023 06:00,07.03.2023 05:00,6,n/e,n/e,n/e,n/e,n/e,0,n/e,n/e
07.03.2023 06:00 - 07.03.2023 07:00,07.03.2023 06:00,35,n/e,n/e,n/e,n/e,n/e,0,n/e,n/e
07.03.2023 07:00 - 07.03.2023 08:00,07.03.2023 07:00,74,n/e,n/e,n/e,n/e,n/e,2,n/e,n/e
07.03.2023 08:00 - 07.03.2023 09:00,07.03.2023 08:00,106,n/e,n/e,n/e,n/e,n/e,3,n/e,n/e
07.03.2023 09:00 - 07.03.2023 10:00,07.03.2023 09:00,134,n/e,n/e,n/e,n/e,n/e,9,n/e,n/e
07.03.2023 10:00 - 07.03.2023 11:00,07.03.2023 10:00,140,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
07.03.2023 11:00 - 07.03.2023 12:00,07.03.2023 11:00,123,n/e,n/e,n/e,n/e,n/e,17,n/e,n/e
07.03.2023 12:00 - 07.03.2023 13:00,07.03.2023 12:00,98,n/e,n/e,n/e,n/e,n/e,28,n/e,n/e
07.03.2023 13:00 - 07.03.2023 14:00,07.03.2023 13:00,73,n/e,n/e,n/e,n/e,n/e,43,n/e,n/e
07.03.2023 14:00 - 07.03.2023 15:00,07.03.2023 14:00,35,n/e,n/e,n/e,n/e,n/e,54,n/e,n/e
07.03.2023 15:00 - 07.03.2023 16:00,07.03.2023 15:00,6,n/e,n/e,n/e,n/e,n/e,74,n/e,n/e
07.03.2023 16:00 - 07.03.2023 17:00,07.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,109,n/e,n/e
07.03.2023 17:00 - 07.03.2023 18:00,07.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,145,n/e,n/e
07.03.2023 18:00 - 07.03.2023 19:00,07.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,165,n/e,n/e
07.03.2023 19:00 - 07.03.2023 20:00,07.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,182,n/e,n/e
07.03.2023 20:00 - 07.03.2023 21:00,07.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,192,n/e,n/e
07.03.2023 21:00 - 07.03.2023 22:00,07.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,188,n/e,n/e
07.03.2023 22:00 - 07.03.2023 23:00,07.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,189,n/e,n/e
07.03.2023 23:00 - 08.03.2023 00:00,07.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,189,n/e,n/e
08.03.2023 00:00 - 08.03.2023 01:00,08.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,182,n/e,n/e
08.03.2023 01:00 - 08.03.2023 02:00,08.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,171,n/e,n/e
08.03.2023 02:00 - 08.03.2023 03:00,08.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,162,n/e,n/e
08.03.2023 03:00 - 08.03.2023 04:00,08.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,145,n/e,n/e
08.03.2023 04:00 - 08.03.2023 05:00,08.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,125,n/e,n/e
08.03.2023 05:00 - 08.03.2023 06:00,08.03.2023 05:00,4,n/e,n/e,n/e,n/e,n/e,102,n/e,n/e
08.03.2023 06:00 - 08.03.2023 07:00,08.03.2023 06:00,23,n/e,n/e,n/e,n/e,n/e,77,n/e,n/e
08.03.2023 07:00 - 08.03.2023 08:00,08.03.2023 07:00,49,n/e,n/e,n/e,n/e,n/e,69,n/e,n/e
08.03.2023 08:00 - 08.03.2023 09:00,08.03.2023 08:00,63,n/e,n/e,n/e,n/e,n/e,64,n/e,n/e
08.03.2023 09:00 - 08.03.2023 10:00,08.03.2023 09:00,73,n/e,n/e,n/e,n/e,n/e,58,n/e,n/e
08.03.2023 10:00 - 08.03.2023 11:00,08.03.2023 10:00,77,n/e,n/e,n/e,n/e,n/e,58,n/e,n/e
08.03.2023 11:00 - 08.03.2023 12:00,08.03.2023 11:00,74,n/e,n/e,n/e,n/e,n/e,61,n/e,n/e
08.03.2023 12:00 - 08.03.2023 13:00,08.03.2023 12:00,67,n/e,n/e,n/e,n/e,n/e,68,n/e,n/e
08.03.2023 13:00 - 08.03.2023 14:00,08.03.2023 13:00,52,n/e,n/e,n/e,n/e,n/e,88,n/e,n/e
08.03.2023 14:00 - 08.03.2023 15:00,08.03.2023 14:00,22,n/e,n/e,n/e,n/e,n/e,112,n/e,n/e
08.03.2023 15:00 - 08.03.2023 16:00,08.03.2023 15:00,4,n/e,n/e,n/e,n/e,n/e,127,n/e,n/e
08.03.2023 16:00 - 08.03.2023 17:00,08.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,132,n/e,n/e
08.03.2023 17:00 - 08.03.2023 18:00,08.03.2023 17:00,1,n/e,n/e,n/e,n/e,n/e,131,n/e,n/e
08.03.2023 18:00 - 08.03.2023 19:00,08.03.2023 18:00,1,n/e,n/e,n/e,n/e,n/e,122,n/e,n/e
08.03.2023 19:00 - 08.03.2023 20:00,08.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,112,n/e,n/e
08.03.2023 20:00 - 08.03.2023 21:00,08.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,107,n/e,n/e
08.03.2023 21:00 - 08.03.2023 22:00,08.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,106,n/e,n/e
08.03.2023 22:00 - 08.03.2023 23:00,08.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,109,n/e,n/e
08.03.2023 23:00 - 09.03.2023 00:00,08.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,93,n/e,n/e
09.03.2023 00:00 - 09.03.2023 01:00,09.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,91,n/e,n/e
09.03.2023 01:00 - 09.03.2023 02:00,09.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,90,n/e,n/e
09.03.2023 02:00 - 09.03.2023 03:00,09.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,87,n/e,n/e
09.03.2023 03:00 - 09.03.2023 04:00,09.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,83,n/e,n/e
09.03.2023 04:00 - 09.03.2023 05:00,09.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,80,n/e,n/e
09.03.2023 05:00 - 09.03.2023 06:00,09.03.2023 05:00,4,n/e,n/e,n/e,n/e,n/e,76,n/e,n/e
09.03.2023 06:00 - 09.03.2023 07:00,09.03.2023 06:00,30,n/e,n/e,n/e,n/e,n/e,68,n/e,n/e
09.03.2023 07:00 - 09.03.2023 08:00,09.03.2023 07:00,65,n/e,n/e,n/e,n/e,n/e,58,n/e,n/e
09.03.2023 08:00 - 09.03.2023 09:00,09.03.2023 08:00,98,n/e,n/e,n/e,n/e,n/e,45,n/e,n/e
09.03.2023 09:00 - 09.03.2023 10:00,09.03.2023 09:00,125,n/e,n/e,n/e,n/e,n/e,33,n/e,n/e
09.03.2023 10:00 - 09.03.2023 11:00,09.03.2023 10:00,139,n/e,n/e,n/e,n/e,n/e,25,n/e,n/e
09.03.2023 11:00 - 09.03.2023 12:00,09.03.2023 11:00,148,n/e,n/e,n/e,n/e,n/e,19,n/e,n/e
09.03.2023 12:00 - 09.03.2023 13:00,09.03.2023 12:00,141,n/e,n/e,n/e,n/e,n/e,14,n/e,n/e
09.03.2023 13:00 - 09.03.2023 14:00,09.03.2023 13:00,110,n/e,n/e,n/e,n/e,n/e,10,n/e,n/e
09.03.2023 14:00 - 09.03.2023 15:00,09.03.2023 14:00,63,n/e,n/e,n/e,n/e,n/e,8,n/e,n/e
09.03.2023 15:00 - 09.03.2023 16:00,09.03.2023 15:00,9,n/e,n/e,n/e,n/e,n/e,7,n/e,n/e
09.03.2023 16:00 - 09.03.2023 17:00,09.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,7,n/e,n/e
09.03.2023 17:00 - 09.03.2023 18:00,09.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,8,n/e,n/e
09.03.2023 18:00 - 09.03.2023 19:00,09.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
09.03.2023 19:00 - 09.03.2023 20:00,09.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,20,n/e,n/e
09.03.2023 20:00 - 09.03.2023 21:00,09.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,30,n/e,n/e
09.03.2023 21:00 - 09.03.2023 22:00,09.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,42,n/e,n/e
09.03.2023 22:00 - 09.03.2023 23:00,09.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,55,n/e,n/e
09.03.2023 23:00 - 10.03.2023 00:00,09.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
10.03.2023 00:00 - 10.03.2023 01:00,10.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
10.03.2023 01:00 - 10.03.2023 02:00,10.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
10.03.2023 02:00 - 10.03.2023 03:00,10.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,13,n/e,n/e
10.03.2023 03:00 - 10.03.2023 04:00,10.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,13,n/e,n/e
10.03.2023 04:00 - 10.03.2023 05:00,10.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,13,n/e,n/e
10.03.2023 05:00 - 10.03.2023 06:00,10.03.2023 05:00,1,n/e,n/e,n/e,n/e,n/e,9,n/e,n/e
10.03.2023 06:00 - 10.03.2023 07:00,10.03.2023 06:00,8,n/e,n/e,n/e,n/e,n/e,9,n/e,n/e
10.03.2023 07:00 - 10.03.2023 08:00,10.03.2023 07:00,18,n/e,n/e,n/e,n/e,n/e,9,n/e,n/e
10.03.2023 08:00 - 10.03.2023 09:00,10.03.2023 08:00,37,n/e,n/e,n/e,n/e,n/e,8,n/e,n/e
10.03.2023 09:00 - 10.03.2023 10:00,10.03.2023 09:00,45,n/e,n/e,n/e,n/e,n/e,7,n/e,n/e
10.03.2023 10:00 - 10.03.2023 11:00,10.03.2023 10:00,52,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
10.03.2023 11:00 - 10.03.2023 12:00,10.03.2023 11:00,52,n/e,n/e,n/e,n/e,n/e,10,n/e,n/e
10.03.2023 12:00 - 10.03.2023 13:00,10.03.2023 12:00,44,n/e,n/e,n/e,n/e,n/e,7,n/e,n/e
10.03.2023 13:00 - 10.03.2023 14:00,10.03.2023 13:00,31,n/e,n/e,n/e,n/e,n/e,10,n/e,n/e
10.03.2023 14:00 - 10.03.2023 15:00,10.03.2023 14:00,16,n/e,n/e,n/e,n/e,n/e,11,n/e,n/e
10.03.2023 15:00 - 10.03.2023 16:00,10.03.2023 15:00,3,n/e,n/e,n/e,n/e,n/e,13,n/e,n/e
10.03.2023 16:00 - 10.03.2023 17:00,10.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,15,n/e,n/e
10.03.2023 17:00 - 10.03.2023 18:00,10.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
10.03.2023 18:00 - 10.03.2023 19:00,10.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,12,n/e,n/e
10.03.2023 19:00 - 10.03.2023 20:00,10.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,16,n/e,n/e
10.03.2023 20:00 - 10.03.2023 21:00,10.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,15,n/e,n/e
10.03.2023 21:00 - 10.03.2023 22:00,10.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,15,n/e,n/e
10.03.2023 22:00 - 10.03.2023 23:00,10.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,109,n/e,n/e
10.03.2023 23:00 - 11.03.2023 00:00,10.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,112,n/e,n/e
11.03.2023 00:00 - 11.03.2023 01:00,11.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,114,n/e,n/e
11.03.2023 01:00 - 11.03.2023 02:00,11.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,117,n/e,n/e
11.03.2023 02:00 - 11.03.2023 03:00,11.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,123,n/e,n/e
11.03.2023 03:00 - 11.03.2023 04:00,11.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
11.03.2023 04:00 - 11.03.2023 05:00,11.03.2023 04:00,1,n/e,n/e,n/e,n/e,n/e,121,n/e,n/e
11.03.2023 05:00 - 11.03.2023 06:00,11.03.2023 05:00,5,n/e,n/e,n/e,n/e,n/e,121,n/e,n/e
11.03.2023 06:00 - 11.03.2023 07:00,11.03.2023 06:00,22,n/e,n/e,n/e,n/e,n/e,119,n/e,n/e
11.03.2023 07:00 - 11.03.2023 08:00,11.03.2023 07:00,41,n/e,n/e,n/e,n/e,n/e,106,n/e,n/e
11.03.2023 08:00 - 11.03.2023 09:00,11.03.2023 08:00,50,n/e,n/e,n/e,n/e,n/e,95,n/e,n/e
11.03.2023 09:00 - 11.03.2023 10:00,11.03.2023 09:00,62,n/e,n/e,n/e,n/e,n/e,79,n/e,n/e
11.03.2023 10:00 - 11.03.2023 11:00,11.03.2023 10:00,62,n/e,n/e,n/e,n/e,n/e,67,n/e,n/e
11.03.2023 11:00 - 11.03.2023 12:00,11.03.2023 11:00,59,n/e,n/e,n/e,n/e,n/e,53,n/e,n/e
11.03.2023 12:00 - 11.03.2023 13:00,11.03.2023 12:00,50,n/e,n/e,n/e,n/e,n/e,45,n/e,n/e
11.03.2023 13:00 - 11.03.2023 14:00,11.03.2023 13:00,38,n/e,n/e,n/e,n/e,n/e,35,n/e,n/e
11.03.2023 14:00 - 11.03.2023 15:00,11.03.2023 14:00,18,n/e,n/e,n/e,n/e,n/e,32,n/e,n/e
11.03.2023 15:00 - 11.03.2023 16:00,11.03.2023 15:00,4,n/e,n/e,n/e,n/e,n/e,33,n/e,n/e
11.03.2023 16:00 - 11.03.2023 17:00,11.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,44,n/e,n/e
11.03.2023 17:00 - 11.03.2023 18:00,11.03.2023 17:00,1,n/e,n/e,n/e,n/e,n/e,53,n/e,n/e
11.03.2023 18:00 - 11.03.2023 19:00,11.03.2023 18:00,1,n/e,n/e,n/e,n/e,n/e,56,n/e,n/e
11.03.2023 19:00 - 11.03.2023 20:00,11.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,66,n/e,n/e
11.03.2023 20:00 - 11.03.2023 21:00,11.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,77,n/e,n/e
11.03.2023 21:00 - 11.03.2023 22:00,11.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,96,n/e,n/e
11.03.2023 22:00 - 11.03.2023 23:00,11.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,92,n/e,n/e
11.03.2023 23:00 - 12.03.2023 00:00,11.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,111,n/e,n/e
12.03.2023 00:00 - 12.03.2023 01:00,12.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,120,n/e,n/e
12.03.2023 01:00 - 12.03.2023 02:00,12.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,123,n/e,n/e
12.03.2023 02:00 - 12.03.2023 03:00,12.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,118,n/e,n/e
12.03.2023 03:00 - 12.03.2023 04:00,12.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,111,n/e,n/e
12.03.2023 04:00 - 12.03.2023 05:00,12.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,107,n/e,n/e
12.03.2023 05:00 - 12.03.2023 06:00,12.03.2023 05:00,17,n/e,n/e,n/e,n/e,n/e,102,n/e,n/e
12.03.2023 06:00 - 12.03.2023 07:00,12.03.2023 06:00,71,n/e,n/e,n/e,n/e,n/e,101,n/e,n/e
12.03.2023 07:00 - 12.03.2023 08:00,12.03.2023 07:00,124,n/e,n/e,n/e,n/e,n/e,103,n/e,n/e
12.03.2023 08:00 - 12.03.2023 09:00,12.03.2023 08:00,170,n/e,n/e,n/e,n/e,n/e,111,n/e,n/e
12.03.2023 09:00 - 12.03.2023 10:00,12.03.2023 09:00,196,n/e,n/e,n/e,n/e,n/e,121,n/e,n/e
12.03.2023 10:00 - 12.03.2023 11:00,12.03.2023 10:00,203,n/e,n/e,n/e,n/e,n/e,129,n/e,n/e
12.03.2023 11:00 - 12.03.2023 12:00,12.03.2023 11:00,190,n/e,n/e,n/e,n/e,n/e,136,n/e,n/e
12.03.2023 12:00 - 12.03.2023 13:00,12.03.2023 12:00,161,n/e,n/e,n/e,n/e,n/e,146,n/e,n/e
12.03.2023 13:00 - 12.03.2023 14:00,12.03.2023 13:00,120,n/e,n/e,n/e,n/e,n/e,157,n/e,n/e
12.03.2023 14:00 - 12.03.2023 15:00,12.03.2023 14:00,69,n/e,n/e,n/e,n/e,n/e,162,n/e,n/e
12.03.2023 15:00 - 12.03.2023 16:00,12.03.2023 15:00,13,n/e,n/e,n/e,n/e,n/e,163,n/e,n/e
12.03.2023 16:00 - 12.03.2023 17:00,12.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,164,n/e,n/e
12.03.2023 17:00 - 12.03.2023 18:00,12.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,162,n/e,n/e
12.03.2023 18:00 - 12.03.2023 19:00,12.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,161,n/e,n/e
12.03.2023 19:00 - 12.03.2023 20:00,12.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,158,n/e,n/e
12.03.2023 20:00 - 12.03.2023 21:00,12.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,157,n/e,n/e
12.03.2023 21:00 - 12.03.2023 22:00,12.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,158,n/e,n/e
12.03.2023 22:00 - 12.03.2023 23:00,12.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,154,n/e,n/e
12.03.2023 23:00 - 13.03.2023 00:00,12.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,109,n/e,n/e
13.03.2023 00:00 - 13.03.2023 01:00,13.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,100,n/e,n/e
13.03.2023 01:00 - 13.03.2023 02:00,13.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,93,n/e,n/e
13.03.2023 02:00 - 13.03.2023 03:00,13.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,89,n/e,n/e
13.03.2023 03:00 - 13.03.2023 04:00,13.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,85,n/e,n/e
13.03.2023 04:00 - 13.03.2023 05:00,13.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,83,n/e,n/e
13.03.2023 05:00 - 13.03.2023 06:00,13.03.2023 05:00,25,n/e,n/e,n/e,n/e,n/e,78,n/e,n/e
13.03.2023 06:00 - 13.03.2023 07:00,13.03.2023 06:00,86,n/e,n/e,n/e,n/e,n/e,71,n/e,n/e
13.03.2023 07:00 - 13.03.2023 08:00,13.03.2023 07:00,146,n/e,n/e,n/e,n/e,n/e,64,n/e,n/e
13.03.2023 08:00 - 13.03.2023 09:00,13.03.2023 08:00,194,n/e,n/e,n/e,n/e,n/e,60,n/e,n/e
13.03.2023 09:00 - 13.03.2023 10:00,13.03.2023 09:00,218,n/e,n/e,n/e,n/e,n/e,68,n/e,n/e
13.03.2023 10:00 - 13.03.2023 11:00,13.03.2023 10:00,226,n/e,n/e,n/e,n/e,n/e,84,n/e,n/e
13.03.2023 11:00 - 13.03.2023 12:00,13.03.2023 11:00,209,n/e,n/e,n/e,n/e,n/e,104,n/e,n/e
13.03.2023 12:00 - 13.03.2023 13:00,13.03.2023 12:00,173,n/e,n/e,n/e,n/e,n/e,133,n/e,n/e
13.03.2023 13:00 - 13.03.2023 14:00,13.03.2023 13:00,120,n/e,n/e,n/e,n/e,n/e,167,n/e,n/e
13.03.2023 14:00 - 13.03.2023 15:00,13.03.2023 14:00,65,n/e,n/e,n/e,n/e,n/e,188,n/e,n/e
13.03.2023 15:00 - 13.03.2023 16:00,13.03.2023 15:00,11,n/e,n/e,n/e,n/e,n/e,228,n/e,n/e
13.03.2023 16:00 - 13.03.2023 17:00,13.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,253,n/e,n/e
13.03.2023 17:00 - 13.03.2023 18:00,13.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,269,n/e,n/e
13.03.2023 18:00 - 13.03.2023 19:00,13.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,265,n/e,n/e
13.03.2023 19:00 - 13.03.2023 20:00,13.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,269,n/e,n/e
13.03.2023 20:00 - 13.03.2023 21:00,13.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,271,n/e,n/e
13.03.2023 21:00 - 13.03.2023 22:00,13.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,272,n/e,n/e
13.03.2023 22:00 - 13.03.2023 23:00,13.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,270,n/e,n/e
13.03.2023 23:00 - 14.03.2023 00:00,13.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,283,n/e,n/e
14.03.2023 00:00 - 14.03.2023 01:00,14.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,282,n/e,n/e
14.03.2023 01:00 - 14.03.2023 02:00,14.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,283,n/e,n/e
14.03.2023 02:00 - 14.03.2023 03:00,14.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,285,n/e,n/e
14.03.2023 03:00 - 14.03.2023 04:00,14.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,288,n/e,n/e
14.03.2023 04:00 - 14.03.2023 05:00,14.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,291,n/e,n/e
14.03.2023 05:00 - 14.03.2023 06:00,14.03.2023 05:00,4,n/e,n/e,n/e,n/e,n/e,281,n/e,n/e
14.03.2023 06:00 - 14.03.2023 07:00,14.03.2023 06:00,27,n/e,n/e,n/e,n/e,n/e,292,n/e,n/e
14.03.2023 07:00 - 14.03.2023 08:00,14.03.2023 07:00,52,n/e,n/e,n/e,n/e,n/e,290,n/e,n/e
14.03.2023 08:00 - 14.03.2023 09:00,14.03.2023 08:00,71,n/e,n/e,n/e,n/e,n/e,287,n/e,n/e
14.03.2023 09:00 - 14.03.2023 10:00,14.03.2023 09:00,81,n/e,n/e,n/e,n/e,n/e,281,n/e,n/e
14.03.2023 10:00 - 14.03.2023 11:00,14.03.2023 10:00,85,n/e,n/e,n/e,n/e,n/e,270,n/e,n/e
14.03.2023 11:00 - 14.03.2023 12:00,14.03.2023 11:00,85,n/e,n/e,n/e,n/e,n/e,259,n/e,n/e
14.03.2023 12:00 - 14.03.2023 13:00,14.03.2023 12:00,72,n/e,n/e,n/e,n/e,n/e,248,n/e,n/e
14.03.2023 13:00 - 14.03.2023 14:00,14.03.2023 13:00,53,n/e,n/e,n/e,n/e,n/e,237,n/e,n/e
14.03.2023 14:00 - 14.03.2023 15:00,14.03.2023 14:00,25,n/e,n/e,n/e,n/e,n/e,230,n/e,n/e
14.03.2023 15:00 - 14.03.2023 16:00,14.03.2023 15:00,4,n/e,n/e,n/e,n/e,n/e,222,n/e,n/e
14.03.2023 16:00 - 14.03.2023 17:00,14.03.2023 16:00,0,n/e,n/e,n/e,n/e,n/e,218,n/e,n/e
14.03.2023 17:00 - 14.03.2023 18:00,14.03.2023 17:00,0,n/e,n/e,n/e,n/e,n/e,221,n/e,n/e
14.03.2023 18:00 - 14.03.2023 19:00,14.03.2023 18:00,0,n/e,n/e,n/e,n/e,n/e,221,n/e,n/e
14.03.2023 19:00 - 14.03.2023 20:00,14.03.2023 19:00,0,n/e,n/e,n/e,n/e,n/e,219,n/e,n/e
14.03.2023 20:00 - 14.03.2023 21:00,14.03.2023 20:00,0,n/e,n/e,n/e,n/e,n/e,215,n/e,n/e
14.03.2023 21:00 - 14.03.2023 22:00,14.03.2023 21:00,0,n/e,n/e,n/e,n/e,n/e,212,n/e,n/e
14.03.2023 22:00 - 14.03.2023 23:00,14.03.2023 22:00,0,n/e,n/e,n/e,n/e,n/e,208,n/e,n/e
14.03.2023 23:00 - 15.03.2023 00:00,14.03.2023 23:00,0,n/e,n/e,n/e,n/e,n/e,170,n/e,n/e
15.03.2023 00:00 - 15.03.2023 01:00,15.03.2023 00:00,0,n/e,n/e,n/e,n/e,n/e,146,n/e,n/e
15.03.2023 01:00 - 15.03.2023 02:00,15.03.2023 01:00,0,n/e,n/e,n/e,n/e,n/e,127,n/e,n/e
15.03.2023 02:00 - 15.03.2023 03:00,15.03.2023 02:00,0,n/e,n/e,n/e,n/e,n/e,107,n/e,n/e
15.03.2023 03:00 - 15.03.2023 04:00,15.03.2023 03:00,0,n/e,n/e,n/e,n/e,n/e,100,n/e,n/e
15.03.2023 04:00 - 15.03.2023 05:00,15.03.2023 04:00,0,n/e,n/e,n/e,n/e,n/e,89,n/e,n/e
15.03.2023 05:00 - 15.03.2023 06:00,15.03.2023 05:00,4,n/e,n/e,n/e,n/e,n/e,76,n/e,n/e
15.03.2023 06:00 - 15.03.2023 07:00,15.03.2023 06:00,28,n/e,n/e,n/e,n/e,n/e,76,n/e,n/e
15.03.2023 07:00 - 15.03.2023 08:00,15.03.2023 07:00,65,n/e,n/e,n/e,n/e,n/e,76,n/e,n/e
15.03.2023 08:00 - 15.03.2023 09:00,15.03.2023 08:00,107,n/e,n/e,n/e,n/e,n/e,84,n/e,n/e
15.03.2023 09:00 - 15.03.2023 10:00,15.03.2023 09:00,141,n/e,n/e,n/e,n/e,n/e,82,n/e,n/e
15.03.2023 10:00 - 15.03.2023 11:00,15.03.2023 10:00,149,n/e,n/e,n/e,n/e,n/e,85,n/e,n/e
15.03.2023 11:00 - 15.03.2023 12:00,15.03.2023 11:00,143,n/e,n/e,n/e,n/e,n/e,88,n/e,n/e
15.03.2023 12:00 - 15.03.2023 13:00,15.03.2023 12:00,133,n/e,n/e,n/e,n/e,n/e,100,n/e,n/e
